symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AAPL,2025-11-18 14:55:00+00:00,266.75,266.94,266.54,266.86,136964.0,3372.0,266.724199
AAPL,2025-11-18 14:56:00+00:00,266.86,267.0675,266.68,266.85,140810.0,3058.0,266.883151
AAPL,2025-11-18 14:57:00+00:00,266.845,267.07,266.71,267.04,147123.0,3342.0,266.882421
AAPL,2025-11-18 14:58:00+00:00,267.03,267.2399,266.9886,267.1,165881.0,3463.0,267.091107
AAPL,2025-11-18 14:59:00+00:00,267.095,267.12,266.67,266.73,143999.0,3320.0,266.886122
AAPL,2025-11-18 15:00:00+00:00,266.725,267.29,266.66,267.06,280863.0,4083.0,266.90389
AAPL,2025-11-18 15:01:00+00:00,267.09,267.16,266.595,266.94,132621.0,3440.0,266.896857
AAPL,2025-11-18 15:02:00+00:00,266.97,266.99,266.5401,266.79,165989.0,3885.0,266.716081
AAPL,2025-11-18 15:03:00+00:00,266.79,267.28,266.79,267.01,171036.0,4280.0,267.051104
AAPL,2025-11-18 15:04:00+00:00,267.0,267.025,266.37,266.55,131689.0,3521.0,266.603088
AAPL,2025-11-18 15:05:00+00:00,266.54,266.5799,265.73,266.21,246914.0,5514.0,266.210989
AAPL,2025-11-18 15:06:00+00:00,266.2,266.575,266.2,266.4379,155897.0,3518.0,266.406178
AAPL,2025-11-18 15:07:00+00:00,266.435,266.9099,266.43,266.795,119321.0,2908.0,266.722576
AAPL,2025-11-18 15:08:00+00:00,266.8,266.945,266.57,266.7751,164768.0,3670.0,266.782098
AAPL,2025-11-18 15:09:00+00:00,266.75,266.94,266.6115,266.83,106258.0,2611.0,266.797224
AAPL,2025-11-18 15:10:00+00:00,266.79,266.97,266.59,266.735,122644.0,3048.0,266.786142
AAPL,2025-11-18 15:11:00+00:00,266.74,266.77,266.1377,266.25,123273.0,4152.0,266.442481
AAPL,2025-11-18 15:12:00+00:00,266.27,266.49,266.19,266.32,65430.0,2292.0,266.361075
AAPL,2025-11-18 15:13:00+00:00,266.34,266.59,266.1801,266.46,97107.0,2651.0,266.403646
AAPL,2025-11-18 15:14:00+00:00,266.46,266.73,266.45,266.53,89811.0,2340.0,266.599897
AAPL,2025-11-18 15:15:00+00:00,266.53,266.55,266.17,266.26,95090.0,2690.0,266.37551
AAPL,2025-11-18 15:16:00+00:00,266.27,266.3,265.83,265.8464,112508.0,2854.0,266.01032
AAPL,2025-11-18 15:17:00+00:00,265.84,265.91,265.33,265.534,285384.0,5073.0,265.622991
AAPL,2025-11-18 15:18:00+00:00,265.55,265.62,265.32,265.575,295903.0,3795.0,265.48458
AAPL,2025-11-18 15:19:00+00:00,265.6,266.11,265.54,266.1072,125753.0,2765.0,265.731873
AAPL,2025-11-18 15:20:00+00:00,266.1,266.79,266.01,266.79,144447.0,2787.0,266.294392
AAPL,2025-11-18 15:21:00+00:00,266.755,267.2145,266.64,267.12,237205.0,4040.0,266.896298
