Datetime,Open,High,Low,Close,Volume
2025-11-18 05:52:00+00:00,90162.47,90197.03,90123.87,90123.87,3.02321799
2025-11-18 05:53:00+00:00,90123.86,90158.0,90004.62,90014.0,4.03110839
2025-11-18 05:54:00+00:00,90018.01,90050.22,90014.0,90047.42,2.66079697
2025-11-18 05:55:00+00:00,90047.45,90094.51,90006.52,90091.24,2.34333223
2025-11-18 05:56:00+00:00,90090.67,90153.52,90059.36,90090.35,17.11206461
2025-11-18 05:57:00+00:00,90090.33,90125.44,89721.12,90094.0,81.72437987
2025-11-18 05:58:00+00:00,90095.97,90137.99,90078.72,90090.91,6.77599863
2025-11-18 05:59:00+00:00,90090.9,90118.49,90089.58,90106.89,2.91459841
2025-11-18 06:00:00+00:00,90109.74,90118.5,89944.3,89962.0,15.03958243
2025-11-18 06:01:00+00:00,89963.98,90016.0,89880.0,89982.0,5.36253404
2025-11-18 06:02:00+00:00,89982.0,90044.0,89880.82,89880.82,13.51424337
2025-11-18 06:03:00+00:00,89885.99,89915.95,89833.06,89849.35,8.43058233
2025-11-18 06:04:00+00:00,89849.36,89902.45,89847.79,89885.8,4.6473193
2025-11-18 06:05:00+00:00,89885.8,89958.0,89849.78,89944.0,5.84947233
2025-11-18 06:06:00+00:00,89944.0,89998.57,89887.45,89887.45,24.10200326
2025-11-18 06:07:00+00:00,89886.36,89894.76,89833.08,89870.35,4.04184226
2025-11-18 06:08:00+00:00,89864.05,89915.41,89832.0,89910.26,10.96554376
2025-11-18 06:09:00+00:00,89910.26,89970.0,89870.57,89970.0,5.97207308
2025-11-18 06:10:00+00:00,89961.53,89998.0,89902.5,89993.37,9.59851277
2025-11-18 06:11:00+00:00,89993.36,90000.0,89962.0,90000.0,3.4889768
2025-11-18 06:12:00+00:00,90000.0,90044.47,89987.1,90018.0,9.72418607
2025-11-18 06:13:00+00:00,90019.99,90061.56,90000.25,90051.99,4.04362026
2025-11-18 06:14:00+00:00,90051.99,90087.93,90027.99,90045.24,5.70870519
2025-11-18 06:15:00+00:00,90045.24,90057.88,90001.03,90007.99,5.5138252
2025-11-18 06:16:00+00:00,90004.62,90020.0,89934.55,89982.73,7.88049366
2025-11-18 06:17:00+00:00,89982.72,90020.64,89932.92,90007.79,11.11168475
2025-11-18 06:18:00+00:00,90007.79,90052.8,89960.07,90001.92,5.30421848
2025-11-18 06:19:00+00:00,90001.91,90069.84,89993.9,90058.0,4.05217969
2025-11-18 06:20:00+00:00,90053.48,90053.48,89925.79,89942.89,7.10778347
2025-11-18 06:21:00+00:00,89942.9,89942.9,89848.02,89938.91,9.86389059
2025-11-18 06:22:00+00:00,89938.92,89972.0,89920.08,89935.53,2.68873788
2025-11-18 06:23:00+00:00,89930.0,89935.56,89851.32,89887.56,4.24437052
2025-11-18 06:24:00+00:00,89886.14,89912.62,89860.0,89898.47,4.41642741
2025-11-18 06:25:00+00:00,89898.48,89906.0,89845.02,89875.99,5.28111176
2025-11-18 06:26:00+00:00,89874.0,89891.59,89852.02,89856.04,3.91685804
2025-11-18 06:27:00+00:00,89856.04,89903.88,89856.04,89892.04,5.96318205
2025-11-18 06:28:00+00:00,89892.03,89903.52,89858.0,89874.0,2.31214197
2025-11-18 06:29:00+00:00,89871.64,89957.98,89871.64,89957.97,13.27668692
2025-11-18 06:30:00+00:00,89958.97,89972.19,89899.27,89972.17,10.52303352
2025-11-18 06:31:00+00:00,89972.18,90012.12,89930.16,89987.46,4.89598874
2025-11-18 06:32:00+00:00,89987.46,89999.94,89929.71,89937.96,8.09904
2025-11-18 06:33:00+00:00,89937.96,89937.96,89864.0,89864.01,3.40950332
2025-11-18 06:34:00+00:00,89864.04,89872.14,89676.13,89789.97,17.43553099
2025-11-18 06:35:00+00:00,89789.96,89793.98,89703.05,89709.99,4.38983996
2025-11-18 06:36:00+00:00,89707.98,89764.0,89702.38,89719.74,6.68288567
2025-11-18 06:37:00+00:00,89721.98,89728.0,89641.49,89654.22,3.59303902
2025-11-18 06:38:00+00:00,89649.87,89670.0,89511.93,89543.35,8.1181791
2025-11-18 06:39:00+00:00,89553.22,89595.0,89456.04,89497.84,28.82403536
2025-11-18 06:40:00+00:00,89499.99,89586.33,89495.29,89546.0,7.13466227
2025-11-18 06:41:00+00:00,89544.0,89603.85,89544.0,89573.44,4.63449409
2025-11-18 06:42:00+00:00,89571.42,89578.0,89462.0,89538.0,13.61734902
2025-11-18 06:43:00+00:00,89537.99,89546.42,89382.0,89435.28,7.63837877
2025-11-18 06:44:00+00:00,89431.99,89471.02,89358.03,89363.22,11.19056584
2025-11-18 06:45:00+00:00,89363.21,89480.34,89363.21,89423.83,13.05847219
2025-11-18 06:46:00+00:00,89422.08,89531.58,89420.0,89526.02,2.80726328
2025-11-18 06:47:00+00:00,89535.96,89535.96,89452.75,89493.46,5.93972711
2025-11-18 06:48:00+00:00,89500.0,89500.91,89394.26,89411.99,10.12198545
2025-11-18 06:49:00+00:00,89409.99,89509.68,89408.44,89454.03,9.82070735
2025-11-18 06:50:00+00:00,89452.74,89452.74,89331.05,89410.0,11.78619451
2025-11-18 06:51:00+00:00,89402.01,89402.01,89280.0,89291.38,13.29235017
2025-11-18 06:52:00+00:00,89291.41,89321.34,89247.87,89297.78,17.07767227
2025-11-18 06:53:00+00:00,89301.93,89369.0,89299.94,89365.58,16.02186931
2025-11-18 06:54:00+00:00,89365.59,89496.0,89357.57,89485.77,8.63215255
2025-11-18 06:55:00+00:00,89485.77,89676.12,89485.77,89632.01,14.48826339
2025-11-18 06:56:00+00:00,89632.01,89659.65,89611.97,89616.01,7.31979658
2025-11-18 06:57:00+00:00,89614.81,89622.0,89486.01,89488.22,10.28931931
2025-11-18 06:58:00+00:00,89488.22,89546.99,89488.22,89507.57,15.32621743
2025-11-18 06:59:00+00:00,89503.58,89543.74,89503.55,89537.8,4.97779531
2025-11-18 07:00:00+00:00,89537.8,89549.1,89371.81,89371.81,14.62492676
2025-11-18 07:01:00+00:00,89370.95,89437.77,89241.05,89412.26,18.5141139
2025-11-18 07:02:00+00:00,89412.26,89473.99,89379.36,89392.03,13.96823308
2025-11-18 07:03:00+00:00,89391.43,89426.46,89342.0,89342.0,9.97200628
2025-11-18 07:04:00+00:00,89342.01,89400.18,89305.36,89334.49,8.62127133
2025-11-18 07:05:00+00:00,89334.49,89478.19,89334.49,89369.51,11.09365376
2025-11-18 07:06:00+00:00,89369.5,89571.59,89366.33,89571.59,8.17746713
2025-11-18 07:07:00+00:00,89566.14,89643.78,89527.2,89527.2,8.170818
2025-11-18 07:08:00+00:00,89522.83,89641.08,89470.27,89641.08,14.88356613
2025-11-18 07:09:00+00:00,89641.07,89698.02,89592.91,89692.0,4.79665683
2025-11-18 07:10:00+00:00,89692.0,89780.27,89671.51,89701.9,9.30228499
2025-11-18 07:11:00+00:00,89701.9,89815.49,89682.58,89727.47,9.08304783
2025-11-18 07:12:00+00:00,89729.99,89741.81,89696.71,89733.04,1.84313248
2025-11-18 07:13:00+00:00,89733.04,89799.44,89726.01,89761.34,5.66590055
2025-11-18 07:14:00+00:00,89760.99,89776.86,89730.0,89763.72,5.66754292
2025-11-18 07:15:00+00:00,89763.72,89768.02,89620.23,89654.22,9.73117817
2025-11-18 07:16:00+00:00,89658.59,89695.35,89540.0,89684.84,37.16677096
2025-11-18 07:17:00+00:00,89676.02,89851.0,89658.61,89798.65,17.57433392
2025-11-18 07:18:00+00:00,89795.95,89845.96,89709.99,89778.0,11.13582914
2025-11-18 07:19:00+00:00,89772.94,89772.94,89687.55,89716.6,8.73543728
2025-11-18 07:20:00+00:00,89707.58,89720.0,89680.8,89685.45,4.41384982
2025-11-18 07:21:00+00:00,89680.81,89762.0,89680.81,89750.7,17.78932064
2025-11-18 07:22:00+00:00,89750.7,89797.48,89723.42,89777.97,5.56825719
