timestamp,datetime,component,shared_memory_mb,process_memory_mb,shared_memory_name
1762655581.126591,2025-11-08 20:33:01,ORDERBOOK,0.015625,90.21875,G8_Shared_Prcie_Book
1762655581.37621,2025-11-08 20:33:01,ORDERBOOK,0.015625,90.21875,G8_Shared_Prcie_Book
1762655581.6263108,2025-11-08 20:33:01,ORDERBOOK,0.015625,90.21875,G8_Shared_Prcie_Book
1762655581.877387,2025-11-08 20:33:01,ORDERBOOK,0.015625,90.21875,G8_Shared_Prcie_Book
1762655677.020648,2025-11-08 20:34:37,PRICE_STRATEGY,0.015625,47.015625,G8_Shared_Prcie_Book
1762655677.639023,2025-11-08 20:34:37,PRICE_STRATEGY,0.015625,47.53125,G8_Shared_Prcie_Book
1762655678.272237,2025-11-08 20:34:38,PRICE_STRATEGY,0.015625,47.78125,G8_Shared_Prcie_Book
1762655678.9056761,2025-11-08 20:34:38,PRICE_STRATEGY,0.015625,47.8125,G8_Shared_Prcie_Book
1762655679.538923,2025-11-08 20:34:39,PRICE_STRATEGY,0.015625,47.984375,G8_Shared_Prcie_Book
1762655680.180232,2025-11-08 20:34:40,PRICE_STRATEGY,0.015625,48.203125,G8_Shared_Prcie_Book
1762655680.80949,2025-11-08 20:34:40,PRICE_STRATEGY,0.015625,48.234375,G8_Shared_Prcie_Book
1762655681.4369862,2025-11-08 20:34:41,PRICE_STRATEGY,0.015625,48.328125,G8_Shared_Prcie_Book
1762655682.062422,2025-11-08 20:34:42,PRICE_STRATEGY,0.015625,48.40625,G8_Shared_Prcie_Book
1762655682.7173219,2025-11-08 20:34:42,PRICE_STRATEGY,0.015625,48.390625,G8_Shared_Prcie_Book
1762655683.3738399,2025-11-08 20:34:43,PRICE_STRATEGY,0.015625,48.234375,G8_Shared_Prcie_Book
1762655684.0063848,2025-11-08 20:34:44,PRICE_STRATEGY,0.015625,48.390625,G8_Shared_Prcie_Book
1762655684.634872,2025-11-08 20:34:44,PRICE_STRATEGY,0.015625,48.203125,G8_Shared_Prcie_Book
1762655685.266222,2025-11-08 20:34:45,PRICE_STRATEGY,0.015625,48.21875,G8_Shared_Prcie_Book
1762655685.906483,2025-11-08 20:34:45,PRICE_STRATEGY,0.015625,47.1875,G8_Shared_Prcie_Book
1762655686.5211918,2025-11-08 20:34:46,PRICE_STRATEGY,0.015625,47.015625,G8_Shared_Prcie_Book
1762655687.139767,2025-11-08 20:34:47,PRICE_STRATEGY,0.015625,46.75,G8_Shared_Prcie_Book
1762655687.7659478,2025-11-08 20:34:47,PRICE_STRATEGY,0.015625,46.8125,G8_Shared_Prcie_Book
1762655688.39192,2025-11-08 20:34:48,PRICE_STRATEGY,0.015625,46.8125,G8_Shared_Prcie_Book
1762655689.024117,2025-11-08 20:34:49,PRICE_STRATEGY,0.015625,46.8125,G8_Shared_Prcie_Book
1762655689.648569,2025-11-08 20:34:49,PRICE_STRATEGY,0.015625,46.828125,G8_Shared_Prcie_Book
1762655690.266168,2025-11-08 20:34:50,PRICE_STRATEGY,0.015625,46.828125,G8_Shared_Prcie_Book
1762655690.8860521,2025-11-08 20:34:50,PRICE_STRATEGY,0.015625,46.84375,G8_Shared_Prcie_Book
1762655691.5039868,2025-11-08 20:34:51,PRICE_STRATEGY,0.015625,46.828125,G8_Shared_Prcie_Book
1762655692.135236,2025-11-08 20:34:52,PRICE_STRATEGY,0.015625,46.59375,G8_Shared_Prcie_Book
1762655692.759684,2025-11-08 20:34:52,PRICE_STRATEGY,0.015625,46.625,G8_Shared_Prcie_Book
1762655693.3922172,2025-11-08 20:34:53,PRICE_STRATEGY,0.015625,46.625,G8_Shared_Prcie_Book
1762655694.015608,2025-11-08 20:34:54,PRICE_STRATEGY,0.015625,46.625,G8_Shared_Prcie_Book
1762655694.6377401,2025-11-08 20:34:54,PRICE_STRATEGY,0.015625,46.625,G8_Shared_Prcie_Book
1762655695.252936,2025-11-08 20:34:55,PRICE_STRATEGY,0.015625,46.609375,G8_Shared_Prcie_Book
1762655695.863046,2025-11-08 20:34:55,PRICE_STRATEGY,0.015625,46.328125,G8_Shared_Prcie_Book
1762655696.481997,2025-11-08 20:34:56,PRICE_STRATEGY,0.015625,46.328125,G8_Shared_Prcie_Book
1762655697.092278,2025-11-08 20:34:57,PRICE_STRATEGY,0.015625,46.359375,G8_Shared_Prcie_Book
1762655697.718982,2025-11-08 20:34:57,PRICE_STRATEGY,0.015625,46.390625,G8_Shared_Prcie_Book
1762655698.333834,2025-11-08 20:34:58,PRICE_STRATEGY,0.015625,46.421875,G8_Shared_Prcie_Book
1762655698.951643,2025-11-08 20:34:58,PRICE_STRATEGY,0.015625,46.34375,G8_Shared_Prcie_Book
1762655699.5748339,2025-11-08 20:34:59,PRICE_STRATEGY,0.015625,46.3125,G8_Shared_Prcie_Book
